time_start_record;time_end_record;time_start_sending;time_end_sending;time_first_result;self.time_final_result
1436458036.91;1436458039.14;1436458037.39;1436458040.13;0;0
1436458045.61;1436458049.54;1436458046.31;1436458050.47;1436458048.5;1436458048.52
1436458051.61;1436458051.61;1436458052.13;1436458052.37;1436458052.38;1436458052.39
1436458057.85;1436458062.69;1436458058.32;1436458064.01;1436458061.48;1436458063.27
1436458063.85;1436458067.08;1436458064.32;1436458068.18;0;1436458067.58
1436458069.62;1436458069.85;1436458070.01;1436458070.8;1436458070.34;1436458070.35
1436458075.16;1436458077.24;1436458076.01;1436458078.13;0;0
1436458081.4;1436458083.47;1436458082.11;1436458084.42;1436458084.62;1436458084.63
1436458087.17;1436458089.02;1436458088.01;1436458090.13;0;0
1436458089.94;1436458090.4;1436458090.92;1436458091.35;0;0
1436458095.48;1436458096.64;1436458096.13;1436458097.68;0;0
1436458101.95;1436458104.95;1436458102.23;1436458106.2;1436458103.2;1436458104.44
1436458107.72;1436458108.64;1436458108.2;1436458109.69;0;0
